time,type,amount
2017/1/1 16:55,SE,498.94
2017/1/1 17:00,SE,93.86
2017/1/1 17:05,SE,419.87
2017/1/1 17:10,SE,565.95
2017/1/1 17:15,SE,308.71
2017/1/1 17:20,SE,268.86
2017/1/1 17:30,SE,638.51
2017/1/1 17:35,SE,197.41
2017/1/1 17:40,SE,281.58
2017/1/1 17:45,SE,281.58
2017/1/1 17:55,SE,78.05
2017/1/1 18:00,SE,93.86
2017/1/1 18:05,SE,191.78
2017/1/1 18:15,SE,479.61
2017/1/1 18:20,SE,386.67
2017/1/1 18:25,SE,93.86
2017/1/1 18:30,SE,436.29
2017/1/1 18:35,SE,156.85
2017/1/1 18:40,SE,483.49
2017/1/1 18:45,SE,265.37
2017/1/1 18:50,SE,360.01
2017/1/1 18:55,SE,500.5
2017/1/1 19:00,SE,344.43
2017/1/1 19:05,SE,196.35
2017/1/1 19:10,SE,435.34
2017/1/1 19:15,SE,913.13
2017/1/1 19:20,SE,652.08
2017/1/1 19:25,SE,93.86
2017/1/1 19:30,SE,432.17
2017/1/1 19:35,SE,187.72
2017/1/1 19:40,SE,281.58
2017/1/1 19:45,SE,415.95
2017/1/1 19:50,SE,93.86
2017/1/1 19:55,SE,244.11
2017/1/1 20:00,SE,505.92
2017/1/1 20:05,SE,197.36
2017/1/1 20:10,SE,427.92
2017/1/1 20:15,SE,197.81
2017/1/1 20:20,SE,187.72
2017/1/1 20:25,SE,322.09
2017/1/1 20:30,SE,272.35
2017/1/1 20:35,SE,344.68
2017/1/1 20:40,SE,348.53
2017/1/1 20:45,SE,231.84
2017/1/1 20:50,SE,1194.86
2017/1/1 20:55,SE,577.25
2017/1/1 21:00,SE,139.92
2017/1/1 21:05,SE,3226.23
2017/1/1 21:10,SE,359.79
2017/1/1 21:15,SE,122.85
2017/1/1 21:20,SE,1661.4
2017/1/1 21:25,SE,701.3
2017/1/1 21:30,SE,1286.29
2017/1/1 21:35,SE,1088.31
2017/1/1 21:40,RE,81.67
2017/1/1 21:40,SE,1874.03
2017/1/1 21:45,SE,596.48
2017/1/1 21:50,SE,581.46
2017/1/1 21:55,SE,5221.46
2017/1/1 22:00,SE,1830.37
2017/1/1 22:05,RE,8.5
2017/1/1 22:05,SE,568.59
2017/1/1 22:10,SE,460.9
2017/1/1 22:15,SE,1350.53
2017/1/1 22:20,SE,1798.26
2017/1/1 22:25,SE,333.78
2017/1/1 22:30,SE,3044.86
2017/1/1 22:35,SE,861.67
2017/1/1 22:40,SE,8.99
2017/1/1 22:45,SE,561.74
2017/1/1 22:50,SE,710.34
2017/1/1 22:55,SE,2627.73
2017/1/1 23:00,SE,1599.32
2017/1/1 23:05,SE,1115.74
2017/1/1 23:10,SE,441.01
2017/1/1 23:15,SE,3878.29
2017/1/1 23:20,SE,264.88
2017/1/1 23:25,SE,350.88
2017/1/1 23:30,SE,1321.6
2017/1/1 23:35,SE,438.77
2017/1/1 23:40,SE,2637.8
2017/1/1 23:45,SE,844.37
2017/1/1 23:50,SE,349
2017/1/1 23:55,SE,820.54
2017/1/2 0:00,SE,471.9
2017/1/2 0:05,SE,22.34
2017/1/2 0:10,SE,533.35
2017/1/2 0:15,SE,187.72
2017/1/2 0:20,SE,295.39
2017/1/2 0:25,SE,108.45
2017/1/2 0:30,SE,221.39
2017/1/2 0:35,SE,93.86
2017/1/2 0:40,SE,8.64
2017/1/2 0:45,SE,470.35
2017/1/2 0:50,SE,104.73
